gene_name	avg_error_rate_diff	n_calls	abs_error_rate_diff	performance	max_diff
A4GALT	0.0018923930686404321	38	0.0018923930686404321	cosigt_better	0.7286128424586705
ABCG8	0.0862442625724488	38	0.0862442625724488	cosigt_better	0.7286128424586705
ABO	-1.404447701317464e-4	38	1.404447701317464e-4	locityper_better	0.7286128424586705
ABR	0	38	0	locityper_better	0.7286128424586705
AFP	-7.848420319339713e-5	38	7.848420319339713e-5	locityper_better	0.7286128424586705
AGL	1.4373944111972018e-5	38	1.4373944111972018e-5	cosigt_better	0.7286128424586705
AGRN	-2.84361922594104e-4	37	2.84361922594104e-4	locityper_better	0.7286128424586705
ALOXE3	6.216409084450443e-4	38	6.216409084450443e-4	cosigt_better	0.7286128424586705
ANKRD11	4.392769200811048e-5	38	4.392769200811048e-5	cosigt_better	0.7286128424586705
ANO7	-3.07116634267275e-4	38	3.07116634267275e-4	locityper_better	0.7286128424586705
APOBEC1	0.023622878902476448	38	0.023622878902476448	cosigt_better	0.7286128424586705
APOBEC3H	6.059484552925383e-4	38	6.059484552925383e-4	cosigt_better	0.7286128424586705
APOC1	1.8951252153490204e-4	38	1.8951252153490204e-4	cosigt_better	0.7286128424586705
ARHGEF10	0	38	0	locityper_better	0.7286128424586705
AXIN1	5.0470114858587196e-5	36	5.0470114858587196e-5	cosigt_better	0.7286128424586705
B3GAT3	1.674004627620727e-4	38	1.674004627620727e-4	cosigt_better	0.7286128424586705
BAX	0.012014056794874746	38	0.012014056794874746	cosigt_better	0.7286128424586705
BFSP2	-1.3609929863815849e-5	38	1.3609929863815849e-5	locityper_better	0.7286128424586705
BLOC1S3	-0.005363944240126839	38	0.005363944240126839	locityper_better	0.7286128424586705
BRAF	6.21913349544214e-6	38	6.21913349544214e-6	cosigt_better	0.7286128424586705
BSG	-6.608184343163316e-4	38	6.608184343163316e-4	locityper_better	0.7286128424586705
BTRC	3.1902566338821314e-4	37	3.1902566338821314e-4	cosigt_better	0.7286128424586705
C3	3.056989834799333e-5	38	3.056989834799333e-5	cosigt_better	0.7286128424586705
CALR3	4.019060451532761e-4	38	4.019060451532761e-4	cosigt_better	0.7286128424586705
CANT1	-0.0013010139049460738	38	0.0013010139049460738	locityper_better	0.7286128424586705
CASP10	-7.819391380085064e-5	38	7.819391380085064e-5	locityper_better	0.7286128424586705
CBR3	-6.667952904538329e-4	38	6.667952904538329e-4	locityper_better	0.7286128424586705
CBS	0.0054271867424289955	36	0.0054271867424289955	cosigt_better	0.7286128424586705
CD247	4.988251584844395e-5	38	4.988251584844395e-5	cosigt_better	0.7286128424586705
CD4	-6.53787712608288e-5	38	6.53787712608288e-5	locityper_better	0.7286128424586705
CDH15	-1.4387365428241263e-4	38	1.4387365428241263e-4	locityper_better	0.7286128424586705
CDH17	-9.491273474378364e-6	38	9.491273474378364e-6	locityper_better	0.7286128424586705
CFH	0.24596555650203786	38	0.24596555650203786	cosigt_better	0.7286128424586705
CFHR4	0.6136352830770598	38	0.6136352830770598	cosigt_better	0.7286128424586705
CFHR5	-5.2063813515694954e-6	38	5.2063813515694954e-6	locityper_better	0.7286128424586705
CHL1	3.833926441555322e-6	38	3.833926441555322e-6	cosigt_better	0.7286128424586705
CHRNA4	1.5028192427327285e-4	38	1.5028192427327285e-4	cosigt_better	0.7286128424586705
CLCN7	1.1794668010763376e-4	38	1.1794668010763376e-4	cosigt_better	0.7286128424586705
CNR2	0.00311753593805324	38	0.00311753593805324	cosigt_better	0.7286128424586705
COL18A1	-2.0799713345447435e-4	38	2.0799713345447435e-4	locityper_better	0.7286128424586705
COL6A1	0.0010259094788355192	38	0.0010259094788355192	cosigt_better	0.7286128424586705
COX14	0.0026474945871446166	38	0.0026474945871446166	cosigt_better	0.7286128424586705
COX6B1	1.61195593743435e-4	38	1.61195593743435e-4	cosigt_better	0.7286128424586705
CREB3L3	5.438902508295934e-4	38	5.438902508295934e-4	cosigt_better	0.7286128424586705
CTDP1	-0.00797867177091996	38	0.00797867177091996	locityper_better	0.7286128424586705
CYB5R3	7.201967365254875e-5	38	7.201967365254875e-5	cosigt_better	0.7286128424586705
CYP2A13	0.022912329224927468	38	0.022912329224927468	cosigt_better	0.7286128424586705
CYP2A7	0.293006453831542	38	0.293006453831542	cosigt_better	0.7286128424586705
CYP2B6	1.2228883538489913e-4	38	1.2228883538489913e-4	cosigt_better	0.7286128424586705
CYP2C18	1.4060605647978937e-5	38	1.4060605647978937e-5	cosigt_better	0.7286128424586705
CYP2C19	0.0031289021207948097	38	0.0031289021207948097	cosigt_better	0.7286128424586705
CYP2C8	1.1209826686137469e-5	38	1.1209826686137469e-5	cosigt_better	0.7286128424586705
CYP2C9	2.176407275415626e-4	38	2.176407275415626e-4	cosigt_better	0.7286128424586705
CYP2D6	0.34712129609050213	38	0.34712129609050213	cosigt_better	0.7286128424586705
CYP2E1	-2.5350677352767976e-4	38	2.5350677352767976e-4	locityper_better	0.7286128424586705
CYP2F1	0.001787739833955419	38	0.001787739833955419	cosigt_better	0.7286128424586705
CYP2G1P	3.312838789720819e-5	38	3.312838789720819e-5	cosigt_better	0.7286128424586705
CYP2J2	-3.3212746560270614e-5	38	3.3212746560270614e-5	locityper_better	0.7286128424586705
CYP2R1	2.6097518504676397e-5	38	2.6097518504676397e-5	cosigt_better	0.7286128424586705
CYP2S1	1.5109108988217e-4	38	1.5109108988217e-4	cosigt_better	0.7286128424586705
CYP2U1	-1.8538070996682466e-4	38	1.8538070996682466e-4	locityper_better	0.7286128424586705
CYP2W1	0.0022693839235697474	38	0.0022693839235697474	cosigt_better	0.7286128424586705
CYP4F12	0.02516024107985412	38	0.02516024107985412	cosigt_better	0.7286128424586705
CYP4F3	-4.476028753403092e-4	38	4.476028753403092e-4	locityper_better	0.7286128424586705
D2HGDH	-7.644386354515344e-4	38	7.644386354515344e-4	locityper_better	0.7286128424586705
DAZL	0.03726163560910914	38	0.03726163560910914	cosigt_better	0.7286128424586705
DCLRE1C	2.683578469582204e-4	38	2.683578469582204e-4	cosigt_better	0.7286128424586705
DEAF1	0.0017189784441525473	38	0.0017189784441525473	cosigt_better	0.7286128424586705
DMPK	0.02658738437538313	38	0.02658738437538313	cosigt_better	0.7286128424586705
DNMT3L	0.00760944028947849	38	0.00760944028947849	cosigt_better	0.7286128424586705
DOK7	0.009066826885148295	38	0.009066826885148295	cosigt_better	0.7286128424586705
DPY19L2	0.002408193598376643	38	0.002408193598376643	cosigt_better	0.7286128424586705
DRD4	0.017841295617698993	38	0.017841295617698993	cosigt_better	0.7286128424586705
DSPP	-0.004591254452821403	38	0.004591254452821403	locityper_better	0.7286128424586705
ECHS1	0.014099861838143095	38	0.014099861838143095	cosigt_better	0.7286128424586705
EEF1A2	-0.0046578430483397385	38	0.0046578430483397385	locityper_better	0.7286128424586705
EIF2B5	7.448537660940903e-5	37	7.448537660940903e-5	cosigt_better	0.7286128424586705
ENO3	5.012269086191576e-4	38	5.012269086191576e-4	cosigt_better	0.7286128424586705
ESPN	3.3530244457836636e-5	38	3.3530244457836636e-5	cosigt_better	0.7286128424586705
ESRRA	-0.0012360057493318343	38	0.0012360057493318343	locityper_better	0.7286128424586705
ETFB	-3.72809889687103e-4	38	3.72809889687103e-4	locityper_better	0.7286128424586705
ETHE1	-0.007324662519575487	38	0.007324662519575487	locityper_better	0.7286128424586705
EXTL2	-4.2033727320679834e-5	38	4.2033727320679834e-5	locityper_better	0.7286128424586705
F7	-0.007609257906590025	38	0.007609257906590025	locityper_better	0.7286128424586705
FAT1	2.2250949484996613e-6	38	2.2250949484996613e-6	cosigt_better	0.7286128424586705
FCGR2B	0.10342175680311837	38	0.10342175680311837	cosigt_better	0.7286128424586705
FCGR3A	0.42379858895942285	38	0.42379858895942285	cosigt_better	0.7286128424586705
FGF3	5.158772598405833e-4	38	5.158772598405833e-4	cosigt_better	0.7286128424586705
FGFRL1	-4.7404032274244514e-4	38	4.7404032274244514e-4	locityper_better	0.7286128424586705
FKBP8	8.030522772379079e-5	38	8.030522772379079e-5	cosigt_better	0.7286128424586705
FLAD1	-1.3407770971504632e-5	38	1.3407770971504632e-5	locityper_better	0.7286128424586705
FLG	0.01880880186294518	38	0.01880880186294518	cosigt_better	0.7286128424586705
FLT4	3.7266029333312507e-4	38	3.7266029333312507e-4	cosigt_better	0.7286128424586705
FOXN1	-8.6297049230769625e-05	38	8.6297049230769625e-05	locityper_better	0.7286128424586705
FSCN2	-0.0011352785667674485	38	0.0011352785667674485	locityper_better	0.7286128424586705
FUT1	-0.0017276971338189724	38	0.0017276971338189724	locityper_better	0.7286128424586705
FXN	-6.645201829303753e-5	38	6.645201829303753e-5	locityper_better	0.7286128424586705
G6PC3	1.084540782010697e-4	38	1.084540782010697e-4	cosigt_better	0.7286128424586705
GAK	5.087554270561621e-5	38	5.087554270561621e-5	cosigt_better	0.7286128424586705
GALR1	-0.0065216276014321796	38	0.0065216276014321796	locityper_better	0.7286128424586705
GALT	-2.813797249034219e-4	38	2.813797249034219e-4	locityper_better	0.7286128424586705
GCSH	0.0018175272184754372	38	0.0018175272184754372	cosigt_better	0.7286128424586705
GDF3	-0.0027621224993576647	38	0.0027621224993576647	locityper_better	0.7286128424586705
GIP	-5.532509530661189e-5	38	5.532509530661189e-5	locityper_better	0.7286128424586705
GOLGA3	-7.259693700584261e-5	38	7.259693700584261e-5	locityper_better	0.7286128424586705
GP1BA	0.08112645279946228	38	0.08112645279946228	cosigt_better	0.7286128424586705
GP6	0.0052868581260650666	38	0.0052868581260650666	cosigt_better	0.7286128424586705
GPI	0.007277849640420179	38	0.007277849640420179	cosigt_better	0.7286128424586705
GPIHBP1	0.010324184665134352	37	0.010324184665134352	cosigt_better	0.7286128424586705
GRIN1	6.806540378712643e-4	38	6.806540378712643e-4	cosigt_better	0.7286128424586705
GUSB	3.079011236873097e-4	38	3.079011236873097e-4	cosigt_better	0.7286128424586705
H19	0.0025561627121560215	38	0.0025561627121560215	cosigt_better	0.7286128424586705
HBG1	-0.022370271043507462	38	0.022370271043507462	locityper_better	0.7286128424586705
HBM	-0.004012502762275546	37	0.004012502762275546	locityper_better	0.7286128424586705
HCN2	2.4929554346166994e-4	38	2.4929554346166994e-4	cosigt_better	0.7286128424586705
HCN3	-1.2218161081641448e-5	38	1.2218161081641448e-5	locityper_better	0.7286128424586705
HLA-A	0.3367182313569315	38	0.3367182313569315	cosigt_better	0.7286128424586705
HLA-B	0.0033090030784037297	38	0.0033090030784037297	cosigt_better	0.7286128424586705
HLA-C	0.0903405443685191	38	0.0903405443685191	cosigt_better	0.7286128424586705
HLA-DMA	-4.8397607826449414e-5	38	4.8397607826449414e-5	locityper_better	0.7286128424586705
HLA-DMB	-2.6969988517977495e-4	38	2.6969988517977495e-4	locityper_better	0.7286128424586705
HLA-DOA	2.055268336885641e-5	38	2.055268336885641e-5	cosigt_better	0.7286128424586705
HLA-DPA1	0.003995678056823505	38	0.003995678056823505	cosigt_better	0.7286128424586705
HLA-DPB2	7.445677565940733e-4	38	7.445677565940733e-4	cosigt_better	0.7286128424586705
HLA-DQA1	0.07776138265692653	38	0.07776138265692653	cosigt_better	0.7286128424586705
HLA-DQA2	-1.4263123223760192e-4	38	1.4263123223760192e-4	locityper_better	0.7286128424586705
HLA-DQB1	0.09250006575944866	23	0.09250006575944866	cosigt_better	0.7286128424586705
HLA-DQB2	-1.584507807856596e-4	38	1.584507807856596e-4	locityper_better	0.7286128424586705
HLA-DRA	0.00944308134212644	38	0.00944308134212644	cosigt_better	0.7286128424586705
HLA-DRB5	0.3907938845702205	38	0.3907938845702205	cosigt_better	0.7286128424586705
HLA-E	5.64415541834762e-5	38	5.64415541834762e-5	cosigt_better	0.7286128424586705
HLA-F	-2.5502663224416733e-4	38	2.5502663224416733e-4	locityper_better	0.7286128424586705
HLA-G	1.419895089051163e-5	38	1.419895089051163e-5	cosigt_better	0.7286128424586705
HLA-J	0.017151009366118908	38	0.017151009366118908	cosigt_better	0.7286128424586705
HLA-L	-2.819325943502256e-5	38	2.819325943502256e-5	locityper_better	0.7286128424586705
HLA-N	-6.465217224008234e-5	38	6.465217224008234e-5	locityper_better	0.7286128424586705
HLA-S	-5.816452510896254e-4	38	5.816452510896254e-4	locityper_better	0.7286128424586705
HMGCL	3.599333569973874e-5	38	3.599333569973874e-5	cosigt_better	0.7286128424586705
HMX1	-8.579150204111727e-6	38	8.579150204111727e-6	locityper_better	0.7286128424586705
HNF1A	-5.866413613878672e-4	38	5.866413613878672e-4	locityper_better	0.7286128424586705
HOXB8	-2.785028547598357e-4	38	2.785028547598357e-4	locityper_better	0.7286128424586705
HPD	0.004028992245896538	37	0.004028992245896538	cosigt_better	0.7286128424586705
