experiment	tool	quality	count	total	percentage
CMRGs-1X	locityper	very low: <= 17	2632	24648	10.678351184680299
CMRGs-1X	locityper	low: >17, <= 23	1189	24648	4.823920804933463
CMRGs-1X	locityper	mid: >23, <=33	3471	24648	14.082278481012658
CMRGs-1X	locityper	high: >33	17356	24648	70.41544952937357
CMRGs-1X	cosigt	very low: <= 17	726	24648	2.945472249269718
CMRGs-1X	cosigt	low: >17, <= 23	898	24648	3.6432976306394025
CMRGs-1X	cosigt	mid: >23, <=33	3384	24648	13.729308666017525
CMRGs-1X	cosigt	high: >33	19640	24648	79.68192145407336
CMRGs-2X	locityper	very low: <= 17	1127	24648	4.572379097695553
CMRGs-2X	locityper	low: >17, <= 23	497	24648	2.016390782213567
CMRGs-2X	locityper	mid: >23, <=33	1828	24648	7.416423239208049
CMRGs-2X	locityper	high: >33	21196	24648	85.99480688088283
CMRGs-2X	cosigt	very low: <= 17	494	24648	2.0042194092827006
CMRGs-2X	cosigt	low: >17, <= 23	539	24648	2.1867900032456995
CMRGs-2X	cosigt	mid: >23, <=33	2202	24648	8.933787731256086
CMRGs-2X	cosigt	high: >33	21413	24648	86.87520285621552
CMRGs-5X	locityper	very low: <= 17	192	24648	0.7789678675754625
CMRGs-5X	locityper	low: >17, <= 23	181	24648	0.7343395001622849
CMRGs-5X	locityper	mid: >23, <=33	741	24648	3.0063291139240507
CMRGs-5X	locityper	high: >33	23534	24648	95.48036351833821
CMRGs-5X	cosigt	very low: <= 17	350	24648	1.4199935086011035
CMRGs-5X	cosigt	low: >17, <= 23	354	24648	1.436222005842259
CMRGs-5X	cosigt	mid: >23, <=33	1399	24648	5.675916910094125
CMRGs-5X	cosigt	high: >33	22545	24648	91.46786757546252
CMRGs-30X	locityper	failed	12	24648	0.04868549172346641
CMRGs-30X	locityper	very low: <= 17	115	24648	0.46656929568321975
CMRGs-30X	locityper	low: >17, <= 23	105	24648	0.4259980525803311
CMRGs-30X	locityper	mid: >23, <=33	208	24648	0.8438818565400843
CMRGs-30X	locityper	high: >33	24208	24648	98.21486530347289
CMRGs-30X	cosigt	very low: <= 17	234	24648	0.949367088607595
CMRGs-30X	cosigt	low: >17, <= 23	280	24648	1.1359948068808827
CMRGs-30X	cosigt	mid: >23, <=33	992	24648	4.024667315806556
CMRGs-30X	cosigt	high: >33	23142	24648	93.88997078870497
SVs-30X	locityper	failed	44	30614	0.14372509309466258
SVs-30X	locityper	very low: <= 17	343	30614	1.120402430260665
SVs-30X	locityper	low: >17, <= 23	44	30614	0.14372509309466258
SVs-30X	locityper	mid: >23, <=33	111	30614	0.36257921212517147
SVs-30X	locityper	high: >33	30072	30614	98.22956817142484
SVs-30X	cosigt	very low: <= 17	622	30614	2.0317501796563664
SVs-30X	cosigt	low: >17, <= 23	115	30614	0.37564512967923175
SVs-30X	cosigt	mid: >23, <=33	262	30614	0.8558175997909453
SVs-30X	cosigt	high: >33	29615	30614	96.73678709087345
