gene_name	total_calls	pct_Q5	pct_Q4_or_higher	pct_Q3_or_higher	n_samples
ADAM2	59	100	100	100	59
ADAM22	59	100	100	100	59
ADAMTSL5	34	100	100	100	34
ADK	58	100	100	100	58
AHNAK	59	100	100	100	59
AIP	54	100	100	100	54
ALDH18A1	56	100	100	100	56
ALG1L2	58	100	100	100	58
ANKFN1	61	100	100	100	61
ANKRD7	59	100	100	100	59
ANKS1B	60	100	100	100	60
ANO5	56	100	100	100	56
BCAS1	54	100	100	100	54
BCAS3	56	100	100	100	56
BICD1	60	100	100	100	60
BMPR2	58	100	100	100	58
BRINP3	59	100	100	100	59
BTBD9	56	100	100	100	56
CARD18	55	100	100	100	55
CATSPER2	53	100	100	100	53
CCDC66	57	100	100	100	57
CDK11A	50	100	100	100	50
CDRT15	57	100	100	100	57
CENPC	57	100	100	100	57
CHD5	59	100	100	100	59
CLSTN1	57	100	100	100	57
CNTNAP5	56	100	100	100	56
COMMD10	59	100	100	100	59
CPNE4	54	100	100	100	54
CPPED1	59	100	100	100	59
CSMD1	59	100	100	100	59
CTDSPL2	56	100	100	100	56
CTNNA1	57	100	100	100	57
CWF19L2	59	100	100	100	59
DENND4C	57	100	100	100	57
DNAH6	52	100	100	100	52
DPP10	58	100	100	100	58
DPP6	60	100	100	100	60
FAM47E	59	100	100	100	59
FHIT	59	100	100	100	59
FOXO3	61	100	100	100	61
GEN1	62	100	100	100	62
GNAI1	61	100	100	100	61
GPR141	55	100	100	100	55
GPR42	58	100	100	100	58
GRID1	57	100	100	100	57
GYP	49	100	100	100	49
HILPDA	57	100	100	100	57
HLA-A	58	100	100	100	58
HPSE2	60	100	100	100	60
HTR1F	59	100	100	100	59
HTR2A	59	100	100	100	59
IFT43	60	100	100	100	60
KIAA1586	57	100	100	100	57
KIF9	61	100	100	100	61
LRBA	60	100	100	100	60
MACROD2	48	100	100	100	48
MB21D2	60	100	100	100	60
MGAM	46	100	100	100	46
MGAT4C	57	100	100	100	57
MLXIPL	56	100	100	100	56
MYL3	59	100	100	100	59
NCKAP5	59	100	100	100	59
NECAB2	50	100	100	100	50
NELL1	60	100	100	100	60
NELL2	58	100	100	100	58
NNT	56	100	100	100	56
NRXN1	55	100	100	100	55
NXPH1	59	100	100	100	59
OR2J2	59	100	100	100	59
PACSIN1	56	100	100	100	56
PDGFRL	62	100	100	100	62
PLA2G4F	60	100	100	100	60
POTEA	55	100	100	100	55
PRKCH	56	100	100	100	56
PRKG1	57	100	100	100	57
PSD3	59	100	100	100	59
