gene_name	n_samples
ABCA13	57
ABCG8	58
ACOT1	58
ACTA2	57
ADAM2	59
ADAM22	59
ADAMTSL5	34
ADGRG7	55
ADK	58
AHNAK	59
AIP	54
ALDH18A1	56
ALG1L2	58
AMY1A	35
ANKFN1	61
ANKRD30A	59
ANKRD30B	60
ANKRD36C	47
ANKRD7	59
ANKS1B	60
ANO5	56
APOBEC3A	58
ARF1	57
ARHGEF35	56
ATF6	60
ATP1B1	59
B3GNTL1	49
BCAS1	54
BCAS3	56
BICD1	60
BMPR2	58
BORCS5	57
BRINP3	59
BTBD9	56
C1QTNF3	56
C2orf78	58
C4A	61
CACNA1C	59
CAPN8	60
CARD18	55
CATSPER2	53
CBX2	45
CCDC200	44
CCDC40	59
CCDC66	57
CCM2L	56
CCSER1	57
CDH13	59
CDK11A	50
CDK20	56
CDRT15	57
CELA3B	62
CENPC	57
CFHR1	52
CHD5	59
CHST5	61
CHTF18	52
CLEC18A	52
CLEC18B	56
CLHC1	59
CLSTN1	57
CNTNAP5	56
COMMD10	59
CPNE4	54
CPPED1	59
CR1	57
CSMD1	59
CTAGE6	57
CTDSPL2	56
CTNNA1	57
CTRB1	62
CWF19L2	59
CYP2A6	53
CYP2D7	57
CYP2E1	47
CYP4F12	52
DAPL1	58
DENND4C	57
DHRS4L2	57
DMBT1	61
DNAH6	52
DOCK8	59
DPP10	58
DPP6	60
ENSG	54
FAM47E	59
FBXO22	58
FCGBP	58
FHIT	59
FOXO3	61
GALNTL6	59
GDAP1	59
GEN1	62
GNAI1	61
GOLGA6D	56
GOLGA6L10	56
GOLGA6L4	57
GOLGA8A	55
GPR141	55
GPR42	58
GRID1	57
GRK1	44
GSTM1	59
GYP	49
HEATR6	60
HHAT	62
HILPDA	57
HLA-A	58
HLA-DQA1	57
HPSE2	60
HTR1F	59
HTR2A	59
IFT43	60
IQCJ	58
KANK1	47
KATNAL2	44
KIAA1586	57
KIF9	61
KIR2DL1	55
KLRC1	60
LCE1D	59
LILRA6	28
LPA	54
LRBA	60
LRRC40	59
LRRTM4	58
MACROD2	48
MAGI2	58
MAP3K2	54
MAPK8IP3	56
MB21D2	60
MBD3L2	36
MEI4	60
MGAM	46
MGAT4C	57
MICA	49
MLXIPL	56
MRGPRX1	57
MSR1	61
MTX1	56
MYL3	59
NBPF3	51
NCKAP5	59
NEB	56
NECAB2	50
NELL1	60
NELL2	58
NNT	56
NPSR1	60
NR5A2	58
NRG1	60
NRXN1	55
NUDT9	55
NUTM2A	57
NUTM2G	58
NXPH1	59
OR1A1	50
OR2G6	54
OR2J2	59
OR2L2	56
OR4C11	58
OR52N1	58
OR5P2	59
PACSIN1	56
PATJ	60
PCDHA1	59
PCLO	58
PDGFRL	62
PDPK1	49
PGA4	53
PGR	60
PHACTR1	58
PLA2G4F	60
PLGRKT	51
POLR2J2	46
POTEA	55
POTEH	46
PRB1	57
PRH1	58
PRKCH	56
PRKG1	57
PRKG2	60
PRR20A	32
PSD3	59
PTGER3	58
PTH2R	59
PTK6	42
RABGEF1	54
RAG1	57
RBFOX3	59
RCN1	59
RGPD1	58
RHCE	58
RNASE1	52
RNF150	61
RNPEPL1	53
ROBO1	57
ROBO2	60
RPL24	62
RUNX1	57
RYR1	60
SAMSN1	52
SCAPER	53
SCFD2	54
SEPTIN9	28
SESTD1	59
SFMBT1	58
SGCD	58
SHANK2	54
SIGLEC14	58
SIPA1L1	59
SIRPB1	60
SLC18A1	58
SLC22A2	60
SLC2A14	58
SLC35F4	59
SLC39A11	60
SLC4A4	58
SOCS5	60
SPAG17	60
SPATA31D4	58
SPATA45	60
SPATA5	61
SSU72L2	55
STOX1	61
SUMF1	58
TAF11L11	59
TAFA2	59
TARP	59
THEG	32
THSD7B	52
TIAM2	53
TLR1	56
TMEM132C	57
TPPP	59
TPSAB1	45
TPTE2	56
TRIM49C	53
TRIM64C	58
TRPM3	60
TTC28	55
TTC8	52
TTLL2	48
TUSC3	59
TXNRD1	60
UGT1A10	54
UGT2B17	56
UGT2B28	57
ULK4	61
UPF2	60
USP14	59
USP28	59
VWDE	61
WASHC2C	58
WDPCP	58
WDR11	43
WWOX	60
ZAN	56
ZBTB20	60
ZNF146	37
ZNF257	59
ZNF385B	60
ZNF626	55
ZNF675	58
ZNF844	58
