gene_name	quality	n	total	percent
A4GALT	very low: <= 17	1	76	1.3157894736842104
A4GALT	low: >17, <= 23	4	76	5.263157894736842
A4GALT	mid: >23, <=33	11	76	14.473684210526317
A4GALT	high: >33	60	76	78.94736842105263
ABCG8	low: >17, <= 23	1	76	1.3157894736842104
ABCG8	mid: >23, <=33	6	76	7.894736842105263
ABCG8	high: >33	69	76	90.78947368421053
ABO	low: >17, <= 23	1	76	1.3157894736842104
ABO	mid: >23, <=33	6	76	7.894736842105263
ABO	high: >33	69	76	90.78947368421053
ABR	high: >33	76	76	100
AFP	mid: >23, <=33	9	76	11.842105263157894
AFP	high: >33	67	76	88.1578947368421
AGL	high: >33	76	76	100
AGRN	low: >17, <= 23	3	74	4.054054054054054
AGRN	mid: >23, <=33	6	74	8.108108108108109
AGRN	high: >33	65	74	87.83783783783784
ALOXE3	low: >17, <= 23	1	76	1.3157894736842104
ALOXE3	mid: >23, <=33	7	76	9.210526315789473
ALOXE3	high: >33	68	76	89.47368421052632
ANKRD11	mid: >23, <=33	2	76	2.631578947368421
ANKRD11	high: >33	74	76	97.36842105263158
ANO7	low: >17, <= 23	3	76	3.9473684210526314
ANO7	mid: >23, <=33	2	76	2.631578947368421
ANO7	high: >33	71	76	93.42105263157895
APOBEC1	very low: <= 17	1	76	1.3157894736842104
APOBEC1	low: >17, <= 23	1	76	1.3157894736842104
APOBEC1	mid: >23, <=33	30	76	39.473684210526315
APOBEC1	high: >33	44	76	57.89473684210527
APOBEC3H	low: >17, <= 23	1	76	1.3157894736842104
APOBEC3H	mid: >23, <=33	12	76	15.789473684210526
APOBEC3H	high: >33	63	76	82.89473684210526
APOC1	mid: >23, <=33	8	76	10.526315789473683
APOC1	high: >33	68	76	89.47368421052632
ARHGEF10	high: >33	76	76	100
AXIN1	mid: >23, <=33	3	72	4.166666666666666
AXIN1	high: >33	69	72	95.83333333333334
B3GAT3	mid: >23, <=33	21	76	27.631578947368425
B3GAT3	high: >33	55	76	72.36842105263158
BAX	very low: <= 17	2	76	2.631578947368421
BAX	mid: >23, <=33	16	76	21.052631578947366
BAX	high: >33	58	76	76.31578947368422
BFSP2	mid: >23, <=33	3	76	3.9473684210526314
BFSP2	high: >33	73	76	96.05263157894737
BLOC1S3	very low: <= 17	14	76	18.421052631578945
BLOC1S3	mid: >23, <=33	5	76	6.578947368421052
BLOC1S3	high: >33	57	76	75
BRAF	high: >33	76	76	100
BSG	very low: <= 17	1	76	1.3157894736842104
BSG	low: >17, <= 23	8	76	10.526315789473683
BSG	mid: >23, <=33	17	76	22.36842105263158
BSG	high: >33	50	76	65.78947368421053
BTRC	high: >33	74	74	100
C3	low: >17, <= 23	2	76	2.631578947368421
C3	mid: >23, <=33	3	76	3.9473684210526314
C3	high: >33	71	76	93.42105263157895
CALR3	mid: >23, <=33	14	76	18.421052631578945
CALR3	high: >33	62	76	81.57894736842105
CANT1	very low: <= 17	6	76	7.894736842105263
CANT1	low: >17, <= 23	22	76	28.947368421052634
CANT1	mid: >23, <=33	11	76	14.473684210526317
CANT1	high: >33	37	76	48.68421052631579
CASP10	low: >17, <= 23	4	76	5.263157894736842
CASP10	high: >33	72	76	94.73684210526315
CBR3	very low: <= 17	2	76	2.631578947368421
CBR3	low: >17, <= 23	3	76	3.9473684210526314
CBR3	mid: >23, <=33	31	76	40.78947368421053
CBR3	high: >33	40	76	52.63157894736842
CBS	very low: <= 17	7	72	9.722222222222223
CBS	low: >17, <= 23	3	72	4.166666666666666
CBS	mid: >23, <=33	6	72	8.333333333333332
CBS	high: >33	56	72	77.77777777777779
CD247	mid: >23, <=33	1	76	1.3157894736842104
CD247	high: >33	75	76	98.68421052631578
CD4	low: >17, <= 23	2	76	2.631578947368421
CD4	mid: >23, <=33	13	76	17.105263157894736
CD4	high: >33	61	76	80.26315789473685
CDH15	low: >17, <= 23	4	76	5.263157894736842
CDH15	mid: >23, <=33	15	76	19.736842105263158
CDH15	high: >33	57	76	75
CDH17	mid: >23, <=33	1	76	1.3157894736842104
CDH17	high: >33	75	76	98.68421052631578
CFH	very low: <= 17	2	76	2.631578947368421
CFH	mid: >23, <=33	2	76	2.631578947368421
CFH	high: >33	72	76	94.73684210526315
CFHR4	mid: >23, <=33	3	76	3.9473684210526314
CFHR4	high: >33	73	76	96.05263157894737
CFHR5	mid: >23, <=33	13	76	17.105263157894736
CFHR5	high: >33	63	76	82.89473684210526
CHL1	high: >33	76	76	100
CHRNA4	mid: >23, <=33	13	76	17.105263157894736
CHRNA4	high: >33	63	76	82.89473684210526
CLCN7	mid: >23, <=33	6	76	7.894736842105263
CLCN7	high: >33	70	76	92.10526315789474
CNR2	very low: <= 17	1	76	1.3157894736842104
CNR2	mid: >23, <=33	14	76	18.421052631578945
CNR2	high: >33	61	76	80.26315789473685
COL18A1	low: >17, <= 23	1	76	1.3157894736842104
COL18A1	mid: >23, <=33	1	76	1.3157894736842104
COL18A1	high: >33	74	76	97.36842105263158
COL6A1	very low: <= 17	3	76	3.9473684210526314
COL6A1	low: >17, <= 23	14	76	18.421052631578945
COL6A1	mid: >23, <=33	10	76	13.157894736842104
COL6A1	high: >33	49	76	64.47368421052632
COX14	low: >17, <= 23	3	76	3.9473684210526314
COX14	mid: >23, <=33	38	76	50
COX14	high: >33	35	76	46.05263157894737
COX6B1	mid: >23, <=33	23	76	30.263157894736842
COX6B1	high: >33	53	76	69.73684210526315
CREB3L3	very low: <= 17	2	76	2.631578947368421
CREB3L3	low: >17, <= 23	6	76	7.894736842105263
CREB3L3	mid: >23, <=33	15	76	19.736842105263158
CREB3L3	high: >33	53	76	69.73684210526315
CTDP1	very low: <= 17	15	76	19.736842105263158
CTDP1	low: >17, <= 23	8	76	10.526315789473683
CTDP1	mid: >23, <=33	15	76	19.736842105263158
CTDP1	high: >33	38	76	50
CYB5R3	mid: >23, <=33	7	76	9.210526315789473
CYB5R3	high: >33	69	76	90.78947368421053
CYP2A13	very low: <= 17	1	76	1.3157894736842104
CYP2A13	low: >17, <= 23	4	76	5.263157894736842
CYP2A13	mid: >23, <=33	31	76	40.78947368421053
CYP2A13	high: >33	40	76	52.63157894736842
CYP2A7	very low: <= 17	1	76	1.3157894736842104
CYP2A7	mid: >23, <=33	1	76	1.3157894736842104
CYP2A7	high: >33	74	76	97.36842105263158
CYP2B6	mid: >23, <=33	3	76	3.9473684210526314
CYP2B6	high: >33	73	76	96.05263157894737
CYP2C18	mid: >23, <=33	1	76	1.3157894736842104
CYP2C18	high: >33	75	76	98.68421052631578
CYP2C19	high: >33	76	76	100
CYP2C8	mid: >23, <=33	3	76	3.9473684210526314
CYP2C8	high: >33	73	76	96.05263157894737
CYP2C9	high: >33	76	76	100
CYP2D6	very low: <= 17	9	76	11.842105263157894
CYP2D6	mid: >23, <=33	10	76	13.157894736842104
CYP2D6	high: >33	57	76	75
CYP2E1	very low: <= 17	1	76	1.3157894736842104
CYP2E1	low: >17, <= 23	3	76	3.9473684210526314
CYP2E1	mid: >23, <=33	9	76	11.842105263157894
CYP2E1	high: >33	63	76	82.89473684210526
CYP2F1	mid: >23, <=33	14	76	18.421052631578945
CYP2F1	high: >33	62	76	81.57894736842105
CYP2G1P	high: >33	76	76	100
CYP2J2	mid: >23, <=33	2	76	2.631578947368421
