gene_name	quality	n	total	percent
A4GALT	low: >17, <= 23	1	76	1.3157894736842104
A4GALT	mid: >23, <=33	3	76	3.9473684210526314
A4GALT	high: >33	72	76	94.73684210526315
ABCG8	low: >17, <= 23	1	76	1.3157894736842104
ABCG8	high: >33	75	76	98.68421052631578
ABO	high: >33	76	76	100
ABR	high: >33	76	76	100
AFP	mid: >23, <=33	1	76	1.3157894736842104
AFP	high: >33	75	76	98.68421052631578
AGL	high: >33	76	76	100
AGRN	mid: >23, <=33	2	74	2.7027027027027026
AGRN	high: >33	72	74	97.2972972972973
ALOXE3	high: >33	76	76	100
ANKRD11	high: >33	76	76	100
ANO7	high: >33	76	76	100
APOBEC1	mid: >23, <=33	14	76	18.421052631578945
APOBEC1	high: >33	62	76	81.57894736842105
APOBEC3H	mid: >23, <=33	5	76	6.578947368421052
APOBEC3H	high: >33	71	76	93.42105263157895
APOC1	high: >33	76	76	100
ARHGEF10	high: >33	76	76	100
AXIN1	high: >33	72	72	100
B3GAT3	mid: >23, <=33	2	76	2.631578947368421
B3GAT3	high: >33	74	76	97.36842105263158
BAX	very low: <= 17	1	76	1.3157894736842104
BAX	mid: >23, <=33	3	76	3.9473684210526314
BAX	high: >33	72	76	94.73684210526315
BFSP2	mid: >23, <=33	1	76	1.3157894736842104
BFSP2	high: >33	75	76	98.68421052631578
BLOC1S3	very low: <= 17	10	76	13.157894736842104
BLOC1S3	mid: >23, <=33	1	76	1.3157894736842104
BLOC1S3	high: >33	65	76	85.52631578947368
BRAF	high: >33	76	76	100
BSG	low: >17, <= 23	1	76	1.3157894736842104
BSG	mid: >23, <=33	11	76	14.473684210526317
BSG	high: >33	64	76	84.21052631578947
BTRC	high: >33	74	74	100
C3	high: >33	76	76	100
CALR3	mid: >23, <=33	9	76	11.842105263157894
CALR3	high: >33	67	76	88.1578947368421
CANT1	very low: <= 17	4	76	5.263157894736842
CANT1	low: >17, <= 23	13	76	17.105263157894736
CANT1	mid: >23, <=33	8	76	10.526315789473683
CANT1	high: >33	51	76	67.10526315789474
CASP10	high: >33	76	76	100
CBR3	mid: >23, <=33	20	76	26.31578947368421
CBR3	high: >33	56	76	73.68421052631578
CBS	very low: <= 17	7	72	9.722222222222223
CBS	mid: >23, <=33	3	72	4.166666666666666
CBS	high: >33	62	72	86.11111111111111
CD247	high: >33	76	76	100
CD4	mid: >23, <=33	2	76	2.631578947368421
CD4	high: >33	74	76	97.36842105263158
CDH15	mid: >23, <=33	9	76	11.842105263157894
CDH15	high: >33	67	76	88.1578947368421
CDH17	high: >33	76	76	100
CFH	high: >33	76	76	100
CFHR4	mid: >23, <=33	4	76	5.263157894736842
CFHR4	high: >33	72	76	94.73684210526315
CFHR5	mid: >23, <=33	5	76	6.578947368421052
CFHR5	high: >33	71	76	93.42105263157895
