gene_name	avg_error_rate_diff	n_calls	abs_error_rate_diff	performance	max_diff
A4GALT	-3.885659426797991e-5	38	3.885659426797991e-5	locityper_better	0.28441214311209245
ABCG8	-7.000556416661306e-5	38	7.000556416661306e-5	locityper_better	0.28441214311209245
ABO	-9.070684819441248e-6	38	9.070684819441248e-6	locityper_better	0.28441214311209245
ABR	0	38	0	locityper_better	0.28441214311209245
AFP	-1.2378605416499137e-5	38	1.2378605416499137e-5	locityper_better	0.28441214311209245
AGL	-5.527087771502695e-6	38	5.527087771502695e-6	locityper_better	0.28441214311209245
AGRN	-1.7464885871516625e-7	37	1.7464885871516625e-7	locityper_better	0.28441214311209245
ALOXE3	-6.289852637294418e-6	38	6.289852637294418e-6	locityper_better	0.28441214311209245
ANKRD11	1.4916707663384903e-6	38	1.4916707663384903e-6	cosigt_better	0.28441214311209245
ANO7	-3.214133436253561e-6	38	3.214133436253561e-6	locityper_better	0.28441214311209245
APOBEC1	-9.5975381691759e-5	38	9.5975381691759e-5	locityper_better	0.28441214311209245
APOBEC3H	-5.877290474760549e-5	38	5.877290474760549e-5	locityper_better	0.28441214311209245
APOC1	0	38	0	locityper_better	0.28441214311209245
ARHGEF10	0	38	0	locityper_better	0.28441214311209245
AXIN1	0	36	0	locityper_better	0.28441214311209245
B3GAT3	-4.695999546267104e-6	38	4.695999546267104e-6	locityper_better	0.28441214311209245
BAX	-6.42537300386591e-5	38	6.42537300386591e-5	locityper_better	0.28441214311209245
BFSP2	1.4777899802648087e-5	38	1.4777899802648087e-5	cosigt_better	0.28441214311209245
BLOC1S3	-0.0052140770023183765	38	0.0052140770023183765	locityper_better	0.28441214311209245
BRAF	-2.8698075503280954e-7	38	2.8698075503280954e-7	locityper_better	0.28441214311209245
BSG	6.889620197656141e-5	38	6.889620197656141e-5	cosigt_better	0.28441214311209245
BTRC	-2.358543858130386e-6	37	2.358543858130386e-6	locityper_better	0.28441214311209245
C3	-3.7520418515438643e-7	38	3.7520418515438643e-7	locityper_better	0.28441214311209245
CALR3	-9.072417500858518e-6	38	9.072417500858518e-6	locityper_better	0.28441214311209245
CANT1	-0.0010409806741110263	38	0.0010409806741110263	locityper_better	0.28441214311209245
CASP10	-8.628250083623853e-6	38	8.628250083623853e-6	locityper_better	0.28441214311209245
CBR3	-2.956466454915246e-4	38	2.956466454915246e-4	locityper_better	0.28441214311209245
CBS	-0.002610361692199622	36	0.002610361692199622	locityper_better	0.28441214311209245
CD247	0	38	0	locityper_better	0.28441214311209245
CD4	-1.539994837204003e-5	38	1.539994837204003e-5	locityper_better	0.28441214311209245
CDH15	-1.5252071403196508e-4	38	1.5252071403196508e-4	locityper_better	0.28441214311209245
CDH17	-1.2417457339355747e-6	38	1.2417457339355747e-6	locityper_better	0.28441214311209245
CFH	1.0891611305868663e-7	38	1.0891611305868663e-7	cosigt_better	0.28441214311209245
CFHR4	-9.244760943923213e-7	38	9.244760943923213e-7	locityper_better	0.28441214311209245
CFHR5	-3.849205631315494e-5	38	3.849205631315494e-5	locityper_better	0.28441214311209245
CHL1	0	38	0	locityper_better	0.28441214311209245
CHRNA4	-1.4413236155947325e-5	38	1.4413236155947325e-5	locityper_better	0.28441214311209245
CLCN7	-2.1820083911960392e-7	38	2.1820083911960392e-7	locityper_better	0.28441214311209245
CNR2	-1.6316596935260236e-5	38	1.6316596935260236e-5	locityper_better	0.28441214311209245
COL18A1	2.387599837744092e-7	38	2.387599837744092e-7	cosigt_better	0.28441214311209245
COL6A1	-5.87538294041447e-4	38	5.87538294041447e-4	locityper_better	0.28441214311209245
COX14	-3.01535999104653e-4	38	3.01535999104653e-4	locityper_better	0.28441214311209245
COX6B1	-1.595991604460084e-5	38	1.595991604460084e-5	locityper_better	0.28441214311209245
CREB3L3	-3.980244497977621e-6	38	3.980244497977621e-6	locityper_better	0.28441214311209245
CTDP1	-4.5329227109511716e-4	38	4.5329227109511716e-4	locityper_better	0.28441214311209245
CYB5R3	-3.6780445851784716e-6	38	3.6780445851784716e-6	locityper_better	0.28441214311209245
