gene_name	n_samples
ABCA13	58
ABCG8	59
ACOT1	60
ACTA2	59
ADAM2	61
ADAM22	61
ADAMTSL5	35
ADGRG7	55
ADK	59
AHNAK	61
AIP	56
ALDH18A1	58
ALG1L2	59
AMY1A	35
ANKFN1	63
ANKRD30A	61
ANKRD30B	62
ANKRD36C	49
ANKRD7	61
ANKS1B	62
ANO5	58
APOBEC3A	59
ARF1	59
ARHGEF35	58
ATF6	62
ATP1B1	60
B3GNTL1	51
BCAS1	56
BCAS3	58
BICD1	62
BMPR2	60
BORCS5	59
BRINP3	61
BTBD9	58
C1QTNF3	58
C2orf78	60
C4A	63
CACNA1C	61
CAPN8	62
CARD18	57
CATSPER2	55
CBX2	47
CCDC200	45
CCDC40	61
CCDC66	59
CCM2L	57
CCSER1	59
CDH13	61
CDK11A	52
CDK20	58
CDRT15	59
CELA3B	64
CENPC	59
CFHR1	54
CHD5	61
CHST5	63
CHTF18	54
CLEC18A	54
CLEC18B	57
CLHC1	60
CLSTN1	59
CNTNAP5	58
COMMD10	61
CPNE4	56
CPPED1	61
CR1	59
CSMD1	61
CTAGE6	59
CTDSPL2	58
CTNNA1	59
CTRB1	64
CWF19L2	61
CYP2A6	55
CYP2D7	59
CYP2E1	49
CYP4F12	54
DAPL1	60
DENND4C	58
DHRS4L2	59
DMBT1	63
DNAH6	54
DOCK8	61
DPP10	60
DPP6	62
ENSG	56
FAM47E	61
FBXO22	59
FCGBP	59
FHIT	61
FOXO3	62
GALNTL6	61
GDAP1	61
GEN1	64
GNAI1	62
GOLGA6D	58
GOLGA6L10	58
GOLGA6L4	59
GOLGA8A	57
GPR141	57
GPR42	59
GRID1	59
GRK1	45
GSTM1	60
GYP	50
HEATR6	62
HHAT	64
HILPDA	59
HLA-A	60
HLA-DQA1	58
HPSE2	62
HTR1F	61
HTR2A	61
IFT43	62
IQCJ	60
KANK1	48
KATNAL2	45
KIAA1586	59
KIF9	63
KIR2DL1	57
KLRC1	61
LCE1D	61
LILRA6	29
LPA	56
LRBA	62
LRRC40	60
LRRTM4	60
MACROD2	49
MAGI2	59
MAP3K2	56
MAPK8IP3	58
MB21D2	62
MBD3L2	37
MEI4	62
MGAM	47
MGAT4C	59
MICA	50
MLXIPL	57
MRGPRX1	59
MSR1	63
MTX1	57
MYL3	61
NBPF3	52
NCKAP5	61
NEB	58
NECAB2	51
NELL1	62
NELL2	60
NNT	58
NPSR1	62
NR5A2	59
NRG1	62
NRXN1	57
NUDT9	57
NUTM2A	59
NUTM2G	60
NXPH1	61
OR1A1	52
OR2G6	56
OR2J2	61
OR2L2	58
OR4C11	60
OR52N1	60
OR5P2	61
PACSIN1	58
PATJ	62
PCDHA1	61
PCLO	59
PDGFRL	64
PDPK1	51
PGA4	54
PGR	62
PHACTR1	60
PLA2G4F	62
PLGRKT	53
POLR2J2	48
POTEA	56
POTEH	47
PRB1	59
PRH1	58
PRKCH	58
PRKG1	59
PRKG2	62
PRR20A	33
PSD3	61
PTGER3	60
PTH2R	61
PTK6	43
RABGEF1	56
RAG1	59
RBFOX3	61
RCN1	61
RGPD1	60
RHCE	60
RNASE1	54
RNF150	63
RNPEPL1	55
ROBO1	59
ROBO2	62
RPL24	63
RUNX1	59
RYR1	62
SAMSN1	54
SCAPER	55
SCFD2	56
SEPTIN9	29
SESTD1	61
SFMBT1	60
SGCD	60
SHANK2	55
SIGLEC14	60
SIPA1L1	61
SIRPB1	62
SLC18A1	60
SLC22A2	62
SLC2A14	60
SLC35F4	61
SLC39A11	62
SLC4A4	60
SOCS5	62
SPAG17	62
SPATA31D4	60
SPATA45	62
SPATA5	63
SSU72L2	57
STOX1	62
SUMF1	60
TAF11L11	61
TAFA2	61
TARP	61
THEG	33
THSD7B	54
TIAM2	55
TLR1	58
TMEM132C	59
TPPP	61
TPSAB1	46
TPTE2	58
TRIM49C	55
TRIM64C	59
TRPM3	61
TTC28	57
TTC8	53
TTLL2	49
TUSC3	61
TXNRD1	62
UGT1A10	56
UGT2B17	58
UGT2B28	59
ULK4	63
UPF2	62
USP14	61
USP28	61
VWDE	63
WASHC2C	60
WDPCP	60
WDR11	44
WWOX	62
ZAN	58
ZBTB20	62
ZNF146	38
ZNF257	60
ZNF385B	62
ZNF626	57
ZNF675	60
ZNF844	60
