sample	region	gene	qv1	qv2	qv_sum	qv_fraction	error_rate1	error_rate2	avg_error_rate	condition
HG00438	chr22_42692121_42721636	A4GALT	38.6814	30.5539	69.2353	0.98	0.000135475262130575	0.000880258039048381	0.000507866650589478	CMRGs-30X
HG00621	chr22_42692121_42721636	A4GALT	32.6683	35.0477	67.716	1	0.000540966036962796	0.00031277353602503	0.000426869786493913	CMRGs-30X
HG00673	chr22_42692121_42721636	A4GALT	32.4071	44.5971	77.0042	0.99	0.000574499956314292	3.46968461192807e-05	0.000304598401216786	CMRGs-30X
HG00735	chr22_42692121_42721636	A4GALT	27.8921	27.2689	55.161	0.81	0.00162476292324773	0.00187546947500014	0.00175011619912394	CMRGs-30X
HG00741	chr22_42692121_42721636	A4GALT	30.2305	39.9308	70.1613	1	0.000948309278875403	0.000101606151018411	0.000524957714946907	CMRGs-30X
HG01071	chr22_42692121_42721636	A4GALT	32.5506	36.9273	69.4779	1	0.000555827461564029	0.000202894371770156	0.000379360916667093	CMRGs-30X
HG01106	chr22_42692121_42721636	A4GALT	30.1187	33.7979	63.9166	0.98	0.000973038445684774	0.000417071006430981	0.000695054726057878	CMRGs-30X
HG01109	chr22_42692121_42721636	A4GALT	27.5473	35.1601	62.7074	0.99	0.0017590168513064	0.000304782481006028	0.00103189966615621	CMRGs-30X
HG01175	chr22_42692121_42721636	A4GALT	32.5488	32.0385	64.5873	0.99	0.000556057880515973	0.000625388657067691	0.000590723268791832	CMRGs-30X
HG01243	chr22_42692121_42721636	A4GALT	39.8183	39.8183	79.6366	1	0.000104272551343596	0.000104272551343596	0.000104272551343596	CMRGs-30X
HG01258	chr22_42692121_42721636	A4GALT	35.1602	32.6629	67.8231	0.99	0.00030477546321085	0.000541639090291538	0.000423207276751194	CMRGs-30X
HG01358	chr22_42692121_42721636	A4GALT	36.9204	35.0541	71.9745	1	0.000203216983255796	0.000312312955360575	0.000257764969308185	CMRGs-30X
HG01361	chr22_42692121_42721636	A4GALT	25.9608	25.6719	51.6327	0.74	0.00253466168555498	0.00270900620631472	0.00262183394593485	CMRGs-30X
HG01891	chr22_42692121_42721636	A4GALT	44.7079	33.5141	78.222	0.97	3.38228344575435e-05	0.000445235720742376	0.00023952927759996	CMRGs-30X
HG01928	chr22_42692121_42721636	A4GALT	38.6876	34.5899	73.2775	0.95	0.000135281995259746	0.000347544163851183	0.000241413079555464	CMRGs-30X
HG01952	chr22_42692121_42721636	A4GALT	33.4504	31.5805	65.0309	0.95	0.000451814328820951	0.000694944304563157	0.000573379316692054	CMRGs-30X
HG01978	chr22_42692121_42721636	A4GALT	27.4609	26.5987	54.0596	0.79	0.00179436173794707	0.00218841659792263	0.00199138916793485	CMRGs-30X
HG02055	chr22_42692121_42721636	A4GALT	31.9182	41.6947	73.6129	1	0.000642954144293899	6.7690855049091e-05	0.000355322499671495	CMRGs-30X
HG02080	chr22_42692121_42721636	A4GALT	26.3225	25.4535	51.776	0.81	0.0023321152023869	0.0028487215438416	0.00259041837311425	CMRGs-30X
HG02145	chr22_42692121_42721636	A4GALT	18.0741	24.8111	42.8852	0.84	0.0155808088662182	0.00330285874195172	0.00944183380408495	CMRGs-30X
HG02148	chr22_42692121_42721636	A4GALT	33.4507	33.2469	66.6976	0.86	0.000451783119670739	0.000473489115549426	0.000462636117610083	CMRGs-30X
HG02257	chr22_42692121_42721636	A4GALT	36.2082	33.1286	69.3368	0.93	0.000239430790837051	0.000486564030124549	0.0003629974104808	CMRGs-30X
HG02572	chr22_42692121_42721636	A4GALT	22.0668	22.9863	45.0531	0.79	0.0062132667602136	0.00502770745908332	0.00562048710964846	CMRGs-30X
HG02622	chr22_42692121_42721636	A4GALT	36.2072	27.6369	63.8441	1	0.000239485928161705	0.00172309808591009	0.000981292007035895	CMRGs-30X
HG02630	chr22_42692121_42721636	A4GALT	33.1927	26.8013	59.994	0.94	0.000479435292014367	0.00208867082277099	0.00128405305739268	CMRGs-30X
HG02717	chr22_42692121_42721636	A4GALT	39.8874	30.2394	70.1268	1	0.000102626613930654	0.000946367897891476	0.000524497255911065	CMRGs-30X
HG02723	chr22_42692121_42721636	A4GALT	34.2442	34.6528	68.897	0.96	0.000376339670212313	0.000342546867211297	0.000359443268711805	CMRGs-30X
HG02886	chr22_42692121_42721636	A4GALT	23.5408	24.7474	48.2882	0.79	0.0044250685208007	0.00335166033667994	0.00388836442874032	CMRGs-30X
HG03098	chr22_42692121_42721636	A4GALT	27.7513	26.643	54.3943	1	0.00167830156674342	0.00216620722493588	0.00192225439583965	CMRGs-30X
HG03453	chr22_42692121_42721636	A4GALT	23.1096	39.9342	63.0438	0.98	0.00488697367961056	0.000101526636832508	0.00249425015822154	CMRGs-30X
HG03486	chr22_42692121_42721636	A4GALT	22.918	27.9342	50.8522	0.95	0.00510740150357196	0.00160908875569313	0.00335824512963254	CMRGs-30X
HG03516	chr22_42692121_42721636	A4GALT	26.9968	41.6947	68.6915	1	0.0019967330203344	6.7690855049091e-05	0.00103221193769175	CMRGs-30X
HG03540	chr22_42692121_42721636	A4GALT	28.027	41.6919	69.7189	0.99	0.00157507050892616	6.77345110276586e-05	0.00082140250997691	CMRGs-30X
HG03579	chr22_42692121_42721636	A4GALT	39.8857	21.8063	61.692	0.95	0.000102666793901088	0.00659735722010723	0.00335001200700416	CMRGs-30X
NA18906	chr22_42692121_42721636	A4GALT	18.7285	36.8717	55.6002	0.87	0.0134013947527745	0.000205508599675371	0.00680345167622493	CMRGs-30X
NA20129	chr22_42692121_42721636	A4GALT	41.6916	34.2442	75.9358	0.93	6.77391901235281e-05	0.000376339670212313	0.000222039430167921	CMRGs-30X
HG00438	chr2_43831942_43882988	ABCG8	33.4595	35.9434	69.4029	0.95	0.000450868609720483	0.000254483717310965	0.000352676163515724	CMRGs-30X
HG00621	chr2_43831942_43882988	ABCG8	22.2928	32.3054	54.5982	0.79	0.00589820686111037	0.000588111944536614	0.00324315940282349	CMRGs-30X
HG00673	chr2_43831942_43882988	ABCG8	36.6619	35.9371	72.599	0.9	0.000215680062149601	0.00025485314655925	0.000235266604354426	CMRGs-30X
HG00735	chr2_43831942_43882988	ABCG8	32.3053	31.7654	64.0707	0.92	0.000588125486470486	0.000665978179616432	0.000627051833043459	CMRGs-30X
HG00741	chr2_43831942_43882988	ABCG8	34.7754	32.934	67.7094	1	0.000333012089349317	0.000508861975956078	0.000420937032652698	CMRGs-30X
HG01071	chr2_43831942_43882988	ABCG8	34.7719	31.6386	66.4105	0.92	0.000333280573556592	0.00068570923736953	0.000509494905463061	CMRGs-30X
HG01106	chr2_43831942_43882988	ABCG8	41.0569	44.0665	85.1234	0.97	7.83989055556491e-05	3.92057711009e-05	5.88023383282746e-05	CMRGs-30X
HG01109	chr2_43831942_43882988	ABCG8	41.0574	41.0562	82.1136	0.96	7.8389880067646e-05	7.8411542984665e-05	7.84007115261555e-05	CMRGs-30X
HG01175	chr2_43831942_43882988	ABCG8	40.0907	35.9403	76.031	1	9.79332122998509e-05	0.000254665432986005	0.000176299322642928	CMRGs-30X
HG01243	chr2_43831942_43882988	ABCG8	42.3064	33.277	75.5834	0.97	5.87976542346317e-05	0.000470218812091843	0.000264508233163237	CMRGs-30X
HG01258	chr2_43831942_43882988	ABCG8	22.6381	41.0576	63.6957	0.81	0.00544740920059913	7.8386270163382e-05	0.00276289773538126	CMRGs-30X
HG01358	chr2_43831942_43882988	ABCG8	22.8131	34.5252	57.3383	0.78	0.00523226823230888	0.000352760541021545	0.00279251438666521	CMRGs-30X
HG01361	chr2_43831942_43882988	ABCG8	30.3595	33.6537	64.0132	0.86	0.000920555548526706	0.000431151597912366	0.000675853573219536	CMRGs-30X
HG01891	chr2_43831942_43882988	ABCG8	47.0777	36.2882	83.3659	1	1.95988234175876e-05	0.000235060686399923	0.000127329754908755	CMRGs-30X
HG01928	chr2_43831942_43882988	ABCG8	41.0559	42.3063	83.3622	1	7.84169596492476e-05	5.87990081162401e-05	6.86079838827439e-05	CMRGs-30X
HG01952	chr2_43831942_43882988	ABCG8	33.654	39.2965	72.9505	0.97	0.000431121816043742	0.000117584479213829	0.000274353147628785	CMRGs-30X
HG01978	chr2_43831942_43882988	ABCG8	44.0721	33.6562	77.7283	0.93	3.91552498906341e-05	0.000430903478523175	0.000235029364206905	CMRGs-30X
HG02055	chr2_43831942_43882988	ABCG8	47.0773	34.5237	81.601	1	1.96006286190646e-05	0.000352882401239321	0.000186241514929193	CMRGs-30X
HG02080	chr2_43831942_43882988	ABCG8	34.7725	34.524	69.2965	0.92	0.000333234532324253	0.000352858025828527	0.00034304627907639	CMRGs-30X
HG02145	chr2_43831942_43882988	ABCG8	41.403	39.645	81.048	0.96	7.23935710242304e-05	0.000108517554963278	9.04555629937542e-05	CMRGs-30X
HG02148	chr2_43831942_43882988	ABCG8	22.2357	34.0659	56.3016	0.79	0.00597626710880425	0.0003921118795252	0.00318418949416472	CMRGs-30X
HG02257	chr2_43831942_43882988	ABCG8	47.0754	33.4597	80.5351	1	1.96092055970054e-05	0.000450847846931774	0.00023522852626439	CMRGs-30X
HG02572	chr2_43831942_43882988	ABCG8	47.0768	33.0985	80.1753	0.99	1.96028853547338e-05	0.000489948012196582	0.000254775448775658	CMRGs-30X
HG02622	chr2_43831942_43882988	ABCG8	47.0777	41.0554	88.1331	0.94	1.95988234175876e-05	7.84259882550824e-05	4.9012405836335e-05	CMRGs-30X
HG02630	chr2_43831942_43882988	ABCG8	44.0674	47.0755	91.1429	0.97	3.91976472265265e-05	1.96087540835587e-05	2.94032006550426e-05	CMRGs-30X
HG02717	chr2_43831942_43882988	ABCG8	25.0406	30.9493	55.9899	0.99	0.00313285287479641	0.000803655645732655	0.00196825426026453	CMRGs-30X
HG02723	chr2_43831942_43882988	ABCG8	44.0665	47.0768	91.1433	0.97	3.92057711009e-05	1.96028853547338e-05	2.94043282278169e-05	CMRGs-30X
HG02886	chr2_43831942_43882988	ABCG8	38.6263	30.2649	68.8912	0.98	0.000137205019542966	0.000940827493140791	0.000539016256341879	CMRGs-30X
HG03098	chr2_43831942_43882988	ABCG8	36.6604	41.0622	77.7226	1	0.000215754568270006	7.83032882316208e-05	0.000147028928250813	CMRGs-30X
HG03453	chr2_43831942_43882988	ABCG8	24.8292	47.0777	71.9069	0.95	0.00328912213164692	1.95988234175876e-05	0.00165436047753225	CMRGs-30X
HG03486	chr2_43831942_43882988	ABCG8	6.65454	39.6446	46.29914	0.98	0.216045885611266	0.000108527550259747	0.108077206580763	CMRGs-30X
HG03516	chr2_43831942_43882988	ABCG8	32.9258	32.7642	65.69	1	0.000509823675932932	0.000529151461533891	0.000519487568733412	CMRGs-30X
HG03540	chr2_43831942_43882988	ABCG8	22.38	38.0456	60.4256	0.83	0.00578096047405718	0.000156833920864333	0.00296889719746076	CMRGs-30X
HG03579	chr2_43831942_43882988	ABCG8	41.0562	42.3056	83.3618	0.9	7.8411542984665e-05	5.88084861604297e-05	6.86100145725473e-05	CMRGs-30X
NA18906	chr2_43831942_43882988	ABCG8	47.0777	39.2943	86.372	0.92	1.95988234175876e-05	0.000117644058922344	6.86214411699658e-05	CMRGs-30X
NA20129	chr2_43831942_43882988	ABCG8	28.6884	47.082	75.7704	1	0.00135257077690358	1.95794279987707e-05	0.000686075102451177	CMRGs-30X
HG00438	chr9_133248725_133276039	ABO	47.4195	39.6237	87.0432	1	1.81154864285927e-05	0.00010905108727643	6.35832868525114e-05	CMRGs-30X
HG00621	chr9_133248725_133276039	ABO	44.4092	41.3989	85.8081	0.97	3.62309732189173e-05	7.24619471612986e-05	5.4346460190108e-05	CMRGs-30X
HG00673	chr9_133248725_133276039	ABO	36.6292	34.8534	71.4826	0.94	0.00021731014420759	0.000327084527032645	0.000272197335620117	CMRGs-30X
HG00735	chr9_133248725_133276039	ABO	47.4052	30.0966	77.5018	0.99	1.81752335412458e-05	0.00097800257893952	0.000498088906240383	CMRGs-30X
HG00741	chr9_133248725_133276039	ABO	41.3848	41.3878	82.7726	0.96	7.26975876919605e-05	7.26473873180367e-05	7.26724875049986e-05	CMRGs-30X
HG01071	chr9_133248725_133276039	ABO	44.3949	38.3893	82.7842	0.9	3.63504674454165e-05	0.000144900538679793	9.06255030626048e-05	CMRGs-30X
HG01106	chr9_133248725_133276039	ABO	33.6189	47.4173	81.0362	0.98	0.000434620292754451	1.81246654920903e-05	0.000226372479123271	CMRGs-30X
HG01109	chr9_133248725_133276039	ABO	30.4328	35.3667	65.7995	0.96	0.00090514884171233	0.000290623012359473	0.000597885927035901	CMRGs-30X
HG01175	chr9_133248725_133276039	ABO	41.3989	44.4072	85.8061	1	7.24619471612986e-05	3.62476620411334e-05	5.4354804601216e-05	CMRGs-30X
HG01243	chr9_133248725_133276039	ABO	47.4052	44.4083	91.8135	1	1.81752335412458e-05	3.62384822378429e-05	2.72068578895443e-05	CMRGs-30X
HG01258	chr9_133248725_133276039	ABO	44.397	31.6105	76.0075	1	3.63328946850131e-05	0.000690160341620397	0.000363246618152705	CMRGs-30X
HG01358	chr9_133248725_133276039	ABO	47.4186	36.6134	84.032	1	1.8119240938018e-05	0.000218102176730404	0.000118110708834211	CMRGs-30X
HG01361	chr9_133248725_133276039	ABO	44.3949	41.3846	85.7795	1	3.63504674454165e-05	7.27009356166829e-05	5.45257015310497e-05	CMRGs-30X
HG01891	chr9_133248725_133276039	ABO	44.3949	47.4213	91.8162	1	3.63504674454165e-05	1.81079797435099e-05	2.72292235944632e-05	CMRGs-30X
HG01928	chr9_133248725_133276039	ABO	47.4052	44.3949	91.8001	1	1.81752335412458e-05	3.63504674454165e-05	2.72628504933311e-05	CMRGs-30X
HG01952	chr9_133248725_133276039	ABO	39.6239	44.3949	84.0188	0.98	0.000109046065403905	3.63504674454165e-05	7.26982664246608e-05	CMRGs-30X
HG01978	chr9_133248725_133276039	ABO	41.3848	41.3989	82.7837	0.93	7.26975876919605e-05	7.24619471612986e-05	7.25797674266296e-05	CMRGs-30X
HG02055	chr9_133248725_133276039	ABO	44.3949	47.4186	91.8135	1	3.63504674454165e-05	1.8119240938018e-05	2.72348541917173e-05	CMRGs-30X
HG02080	chr9_133248725_133276039	ABO	39.6379	44.4089	84.0468	0.89	0.000108695108401171	3.62334760523262e-05	7.24642922267488e-05	CMRGs-30X
HG02145	chr9_133248725_133276039	ABO	39.6426	19.3329	58.9755	0.86	0.000108577540553435	0.0116603074039235	0.00588444247223847	CMRGs-30X
HG02148	chr9_133248725_133276039	ABO	44.3949	39.6237	84.0186	0.95	3.63504674454165e-05	0.00010905108727643	7.27007773609233e-05	CMRGs-30X
HG02257	chr9_133248725_133276039	ABO	47.3937	41.3994	88.7931	0.94	1.8223424842802e-05	7.24536051515452e-05	4.53385149971736e-05	CMRGs-30X
HG02572	chr9_133248725_133276039	ABO	30.9855	23.1111	54.0966	0.91	0.000796984729050357	0.00488528607015549	0.00284113539960292	CMRGs-30X
HG02622	chr9_133248725_133276039	ABO	31.8516	39.6361	71.4877	1	0.000652889974778386	0.000108740168090897	0.000380815071434641	CMRGs-30X
HG02630	chr9_133248725_133276039	ABO	31.1801	19.426	50.6061	0.64	0.000762061462709752	0.0114130048021399	0.00608753313242484	CMRGs-30X
HG02717	chr9_133248725_133276039	ABO	29.9407	37.4052	67.3459	1	0.00101374797569936	0.000181752335412458	0.000597750155555908	CMRGs-30X
HG02723	chr9_133248725_133276039	ABO	32.0985	39.6123	71.7108	1	0.000616808003012315	0.00010933771663033	0.000363072859821322	CMRGs-30X
HG02886	chr9_133248725_133276039	ABO	30.6079	44.4089	75.0168	0.99	0.000869380710509592	3.62334760523262e-05	0.000452807093280959	CMRGs-30X
HG03098	chr9_133248725_133276039	ABO	38.3746	26.1513	64.5259	0.93	0.000145391829026429	0.00242588383187614	0.00128563783045128	CMRGs-30X
HG03453	chr9_133248725_133276039	ABO	47.4194	44.4103	91.8297	1	1.81159035578851e-05	3.62217976421092e-05	2.71688505999971e-05	CMRGs-30X
