chrom	start	end	name	region	meandist	condition
chr1	1020120	1058573	AGRN	chr1_1020120_1058573	0.572775199156765	CMRGs-30X
chr1	6184624	6209389	RPL22	chr1_6184624_6209389	0.52605747650429	CMRGs-30X
chr1	6424776	6461652	ESPN	chr1_6424776_6461652	0.689451202120361	CMRGs-30X
chr1	11026523	11047239	MASP2	chr1_11026523_11047239	0.506423221283915	CMRGs-30X
chr1	11842027	11853319	NPPA	chr1_11842027_11853319	0.577490734225007	CMRGs-30X
chr1	23801885	23842277	HMGCL	chr1_23801885_23842277	0.481818661533152	CMRGs-30X
chr1	23870391	23916263	CNR2	chr1_23870391_23916263	0.472545891144888	CMRGs-30X
chr1	25257108	25430192	RHCE	chr1_25257108_25430192	0.537869702111295	CMRGs-30X
chr1	26786787	26800659	PIGV	chr1_26786787_26800659	0.64354894933457	CMRGs-30X
chr1	59893299	59926773	CYP2J2	chr1_59893299_59926773	0.628469959828135	CMRGs-30X
chr1	99850361	99924023	AGL	chr1_99850361_99924023	0.570098011947404	CMRGs-30X
chr1	100872022	100895179	EXTL2	chr1_100872022_100895179	0.740957577999753	CMRGs-30X
chr1	113073198	113132327	LRIG2	chr1_113073198_113132327	0.742180049324694	CMRGs-30X
chr1	115641970	115698224	VANGL1	chr1_115641970_115698224	0.97499655139109	CMRGs-30X
chr1	152302165	152325248	FLG	chr1_152302165_152325248	0.447568161907138	CMRGs-30X
chr1	154983224	154993225	FLAD1	chr1_154983224_154993225	0.621992998570057	CMRGs-30X
chr1	155184370	155194793	MUC1	chr1_155184370_155194793	0.425437164000655	CMRGs-30X
chr1	155277463	155289848	HCN3	chr1_155277463_155289848	0.618719615820244	CMRGs-30X
chr1	161506761	161677560	FCGR3A	chr1_161506761_161677560	0.58027390151848	CMRGs-30X
chr1	161649046	161681047	FCGR2B	chr1_161649046_161681047	0.532609930491703	CMRGs-30X
chr1	167430640	167518610	CD247	chr1_167430640_167518610	0.64608298573569	CMRGs-30X
chr1	186296001	186314567	PRG4	chr1_186296001_186314567	0.41901206050226	CMRGs-30X
chr1	196652028	196954012	CFH	chr1_196652028_196954012	0.576752187350832	CMRGs-30X
chr1	196855840	196962559	CFHR4	chr1_196855840_196962559	0.998724113384195	CMRGs-30X
chr1	196977556	197013097	CFHR5	chr1_196977556_197013097	0.389269872521478	CMRGs-30X
chr1	198638457	198757501	PTPRC	chr1_198638457_198757501	0.644114180572514	CMRGs-30X
chr1	204188416	204198621	KISS1	chr1_204188416_204198621	0.335700183129844	CMRGs-30X
chr1	215005775	215237179	KCNK2	chr1_215005775_215237179	0.674405588100221	CMRGs-30X
chr1	225401502	225428925	LBR	chr1_225401502_225428925	0.604365131531735	CMRGs-30X
chr1	233614106	233672514	KCNK1	chr1_233614106_233672514	0.658481530621993	CMRGs-30X
