gene_name	quintile	n	total	percent
A4GALT	Q4: 0.6-0.8	4	36	11.11111111111111
A4GALT	Q5: 0.8-1.0	32	36	88.88888888888889
ABCG8	Q4: 0.6-0.8	3	36	8.333333333333332
ABCG8	Q5: 0.8-1.0	33	36	91.66666666666666
ABO	Q4: 0.6-0.8	1	36	2.7777777777777777
ABO	Q5: 0.8-1.0	35	36	97.22222222222221
ABR	Q4: 0.6-0.8	8	36	22.22222222222222
ABR	Q5: 0.8-1.0	28	36	77.77777777777779
AFP	Q5: 0.8-1.0	36	36	100
AGL	Q5: 0.8-1.0	36	36	100
AGRN	Q5: 0.8-1.0	35	35	100
ALOXE3	Q5: 0.8-1.0	36	36	100
ANKRD11	Q5: 0.8-1.0	36	36	100
ANO7	Q4: 0.6-0.8	5	36	13.88888888888889
ANO7	Q5: 0.8-1.0	31	36	86.11111111111111
APOBEC1	Q5: 0.8-1.0	36	36	100
APOBEC3H	Q4: 0.6-0.8	2	36	5.555555555555555
APOBEC3H	Q5: 0.8-1.0	34	36	94.44444444444444
APOC1	Q4: 0.6-0.8	1	36	2.7777777777777777
APOC1	Q5: 0.8-1.0	35	36	97.22222222222221
ARHGEF10	Q5: 0.8-1.0	36	36	100
AXIN1	Q5: 0.8-1.0	34	34	100
B3GAT3	Q4: 0.6-0.8	10	36	27.77777777777778
B3GAT3	Q5: 0.8-1.0	26	36	72.22222222222221
BAX	Q5: 0.8-1.0	36	36	100
BFSP2	Q4: 0.6-0.8	1	36	2.7777777777777777
BFSP2	Q5: 0.8-1.0	35	36	97.22222222222221
BLOC1S3	Q3: 0.4-0.6	2	36	5.555555555555555
BLOC1S3	Q4: 0.6-0.8	27	36	75
BLOC1S3	Q5: 0.8-1.0	7	36	19.444444444444446
BRAF	Q5: 0.8-1.0	36	36	100
BSG	Q4: 0.6-0.8	4	36	11.11111111111111
BSG	Q5: 0.8-1.0	32	36	88.88888888888889
BTRC	Q4: 0.6-0.8	1	35	2.857142857142857
BTRC	Q5: 0.8-1.0	34	35	97.14285714285714
C3	Q4: 0.6-0.8	1	36	2.7777777777777777
C3	Q5: 0.8-1.0	35	36	97.22222222222221
CALR3	Q5: 0.8-1.0	36	36	100
CANT1	Q2: 0.2-0.4	1	36	2.7777777777777777
CANT1	Q3: 0.4-0.6	8	36	22.22222222222222
CANT1	Q4: 0.6-0.8	9	36	25
CANT1	Q5: 0.8-1.0	18	36	50
CASP10	Q5: 0.8-1.0	36	36	100
CBR3	Q4: 0.6-0.8	4	36	11.11111111111111
CBR3	Q5: 0.8-1.0	32	36	88.88888888888889
CBS	Q3: 0.4-0.6	1	34	2.941176470588235
CBS	Q4: 0.6-0.8	12	34	35.294117647058826
CBS	Q5: 0.8-1.0	21	34	61.76470588235294
CD247	Q5: 0.8-1.0	36	36	100
CD4	Q4: 0.6-0.8	1	36	2.7777777777777777
CD4	Q5: 0.8-1.0	35	36	97.22222222222221
CDH15	Q4: 0.6-0.8	5	36	13.88888888888889
CDH15	Q5: 0.8-1.0	31	36	86.11111111111111
CDH17	Q5: 0.8-1.0	36	36	100
CFH	Q4: 0.6-0.8	1	36	2.7777777777777777
CFH	Q5: 0.8-1.0	35	36	97.22222222222221
CFHR4	Q5: 0.8-1.0	36	36	100
CFHR5	Q4: 0.6-0.8	3	36	8.333333333333332
CFHR5	Q5: 0.8-1.0	33	36	91.66666666666666
CHL1	Q5: 0.8-1.0	36	36	100
CHRNA4	Q4: 0.6-0.8	1	36	2.7777777777777777
CHRNA4	Q5: 0.8-1.0	35	36	97.22222222222221
CLCN7	Q4: 0.6-0.8	2	36	5.555555555555555
CLCN7	Q5: 0.8-1.0	34	36	94.44444444444444
CNR2	Q4: 0.6-0.8	1	36	2.7777777777777777
CNR2	Q5: 0.8-1.0	35	36	97.22222222222221
COL18A1	Q4: 0.6-0.8	1	36	2.7777777777777777
COL18A1	Q5: 0.8-1.0	35	36	97.22222222222221
COL6A1	Q3: 0.4-0.6	1	36	2.7777777777777777
COL6A1	Q4: 0.6-0.8	10	36	27.77777777777778
COL6A1	Q5: 0.8-1.0	25	36	69.44444444444444
COX14	Q4: 0.6-0.8	10	36	27.77777777777778
COX14	Q5: 0.8-1.0	26	36	72.22222222222221
